id,year,team1,team2,match_result,match_winner,toss_winner,action
201,2015,Delhi Capitals,Mumbai Indians,Normal,Delhi Capitals,Mumbai Indians,field
202,2015,Rajasthan Royals,Royal Challengers Bangalore,Normal,Royal Challengers Bangalore,Royal Challengers Bangalore,field
203,2015,Mumbai Indians,Sunrisers Hyderabad,Normal,Mumbai Indians,Mumbai Indians,bat
204,2015,Chennai Super Kings,Kings XI Punjab,Normal,Chennai Super Kings,Chennai Super Kings,bat
205,2015,Kolkata Knight Riders,Rajasthan Royals,NaN,NaN,NaN,NaN
206,2015,Delhi Capitals,Royal Challengers Bangalore,Normal,Royal Challengers Bangalore,Royal Challengers Bangalore,field
207,2015,Kings XI Punjab,Sunrisers Hyderabad,Normal,Sunrisers Hyderabad,Kings XI Punjab,field
208,2015,Chennai Super Kings,Kolkata Knight Riders,Normal,Chennai Super Kings,Kolkata Knight Riders,field
209,2015,Royal Challengers Bangalore,Rajasthan Royals,NaN,NaN,Rajasthan Royals,field
210,2015,Kolkata Knight Riders,Chennai Super Kings,Normal,Kolkata Knight Riders,Kolkata Knight Riders,field
211,2015,Delhi Capitals,Kings XI Punjab,Normal,Delhi Capitals,Delhi Daredevils,field
212,2015,Mumbai Indians,Rajasthan Royals,Normal,Mumbai Indians,Rajasthan Royals,field
213,2015,Royal Challengers Bangalore,Kolkata Knight Riders,Normal,Royal Challengers Bangalore,Royal Challengers Bangalore,field
214,2015,Sunrisers Hyderabad,Chennai Super Kings,Normal,Sunrisers Hyderabad,Chennai Super Kings,field
215,2015,Kings XI Punjab,Mumbai Indians,Normal,Mumbai Indians,Mumbai Indians,bat
216,2015,Rajasthan Royals,Delhi Capitals,Normal,Rajasthan Royals,Delhi Daredevils,field
217,2015,Chennai Super Kings,Royal Challengers Bangalore,Normal,Chennai Super Kings,Chennai Super Kings,bat
218,2015,Kolkata Knight Riders,Sunrisers Hyderabad,Normal,Kolkata Knight Riders,Sunrisers Hyderabad,field
219,2015,Mumbai Indians,Delhi Capitals,Normal,Mumbai Indians,Delhi Daredevils,bat
220,2015,Royal Challengers Bangalore,Kings XI Punjab,Normal,Royal Challengers Bangalore,Kings XI Punjab,field
221,2015,Rajasthan Royals,Sunrisers Hyderabad,Normal,Sunrisers Hyderabad,Rajasthan Royals,field
222,2015,Kolkata Knight Riders,Delhi Capitals,Normal,Kolkata Knight Riders,Kolkata Knight Riders,bat
223,2015,Chennai Super Kings,Mumbai Indians,Normal,Mumbai Indians,Chennai Super Kings,bat
224,2015,Kolkata Knight Riders,Kings XI Punjab,Normal,Kolkata Knight Riders,Kings XI Punjab,bat
225,2015,Delhi Capitals,Sunrisers Hyderabad,Normal,Sunrisers Hyderabad,Sunrisers Hyderabad,bat
226,2015,Mumbai Indians,Royal Challengers Bangalore,Normal,Royal Challengers Bangalore,Royal Challengers Bangalore,bat
227,2015,Chennai Super Kings,Rajasthan Royals,Normal,Chennai Super Kings,Chennai Super Kings,bat
228,2015,Sunrisers Hyderabad,Kings XI Punjab,Normal,Sunrisers Hyderabad,Sunrisers Hyderabad,bat
229,2015,Delhi Capitals,Chennai Super Kings,Normal,Delhi Capitals,Chennai Super Kings,bat
230,2015,Kings XI Punjab,Royal Challengers Bangalore,Normal,Kings XI Punjab,Royal Challengers Bangalore,field
